score,log2_sf_pred,log2_sf_real,metakey,metaval
,,,n,70
,,,N,21238
,,,fft,18
,,,enum,27
,,,cores,40
,,,walltime,34631.57267406583
,,,cputime,68.89366708700001
734.146,-40.798,-39.046,,
734.937,-40.878,-39.069,,
735.762,-40.962,-39.093,,
736.464,-41.034,-39.117,,
737.53,-41.142,-39.142,,
737.856,-41.176,-39.167,,
738.166,-41.207,-39.193,,
739.647,-41.359,-39.219,,
740.138,-41.409,-39.245,,
740.411,-41.437,-39.272,,
740.781,-41.475,-39.3,,
741.489,-41.548,-39.328,,
742.719,-41.674,-39.356,,
744.043,-41.81,-39.385,,
744.568,-41.864,-39.415,,
746.738,-42.088,-39.445,,
749.347,-42.358,-39.476,,
750.749,-42.504,-39.508,,
750.923,-42.522,-39.541,,
751.104,-42.541,-39.574,,
751.175,-42.548,-39.608,,
752.558,-42.692,-39.642,,
754.467,-42.891,-39.678,,
754.965,-42.943,-39.715,,
755.625,-43.012,-39.752,,
755.917,-43.042,-39.791,,
756.104,-43.062,-39.83,,
756.722,-43.126,-39.871,,
757.135,-43.17,-39.913,,
758.17,-43.278,-39.956,,
758.505,-43.313,-40.0,,
764.153,-43.908,-40.046,,
767.268,-44.237,-40.093,,
767.374,-44.249,-40.142,,
771.093,-44.644,-40.193,,
771.83,-44.723,-40.245,,
773.204,-44.869,-40.3,,
777.436,-45.323,-40.356,,
780.841,-45.689,-40.415,,
781.217,-45.73,-40.476,,
783.862,-46.016,-40.541,,
784.064,-46.038,-40.608,,
784.533,-46.089,-40.678,,
788.034,-46.469,-40.752,,
791.328,-46.828,-40.83,,
792.978,-47.008,-40.913,,
793.922,-47.112,-41.0,,
796.119,-47.353,-41.093,,
797.805,-47.538,-41.193,,
798.785,-47.646,-41.3,,
807.398,-48.601,-41.415,,
809.025,-48.783,-41.541,,
816.132,-49.58,-41.678,,
823.445,-50.407,-41.83,,
832.195,-51.405,-42.0,,
874.874,-56.425,-42.193,,
880.635,-57.121,-42.415,,
895.397,-58.925,-42.678,,
911.031,-60.868,-43.0,,
978.797,-69.669,-43.415,,
1003.369,-73.012,-44.0,,
